,link,brand,price,cartype,model,gearbox,regdate,mileage,motorpower,fuel,car_steering,carcolor,exchange,version,doors,financial,extra,Y
58,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_ka-se-1-5-2018-30-mil-km-737087502,ford,37999,hatch,ka,manual,2018,30000,1.5,flex,elétrica,prata,sim,ka 1.5 se 12v flex 5p mec.,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som",0
59,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_gol-track-17-18-731905586,vwvolkswagen,36990,hatch,gol,manual,2017,27300,1,flex,hidráulica,preto,sim,gol track 1.0 total flex 12v 5p,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré",0
60,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_vendo-ecosport-1-6-automatica-714718263,ford,52000,suv,ecosport,automático,2017,55000,1.6,flex,elétrica,preto,não,ecosport se 1.6 16v flex 5p aut.,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré",0
61,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_ford-focus-1-6-718531535,ford,37500,hatch,focus,manual,2014,17280,1.6,flex,hidráulica,preto,não,focus 1.6 s se se plus flex 8v 16v  5p,4 portas,0,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré",0
62,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_vendo-ou-troco-saveiro-2013-738148801,vwvolkswagen,27500,pickup,saveiro,manual,2013,86000,1.6,flex,hidráulica,vermelho,sim,saveiro sportline 1.6 mi total flex 8v,2 portas,ipva pago,"vidro elétrico, trava elétrica, ar condicionado, direção hidráulica, alarme, som",0
63,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_volkswagen-up-1-0-tsi-move-up-12v-flex-4p-manual-701147068,vwvolkswagen,30320,passeio,up,manual,2016,0,1,flex,hidráulica,preto,sim,0,4 portas,0,"vidro elétrico, air bag, trava elétrica, ar condicionado, alarme",1
64,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_volkswagen-gol-1-0-mi-8v-flex-4p-manual-g-vi-737788140,vwvolkswagen,22900,passeio,gol,manual,2013,92000,1,flex,hidráulica,preto,sim,0,4 portas,0,"vidro elétrico, trava elétrica, ar condicionado",1
65,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_carro-722900478,vwvolkswagen,47000,sedã,jetta,automático,2013,33100,2.02.9,flex,hidráulica,branco,não,jetta trendline 2.0 t.flex 8v 4p tip.,4 portas,0,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré",0
66,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_volkswagen-gol-1-0-12v-mpi-totalflex-trendline-4p-manual-709408354,vwvolkswagen,32700,passeio,gol,manual,2018,9500,1,flex,hidráulica,branco,sim,0,4 portas,0,"vidro elétrico, air bag, trava elétrica, ar condicionado, alarme",0
67,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_ecosport-2014-titanium-automatica-completa-top-de-linha-procurar-martins-685418480,ford,49876,suv,ecosport,automático,2014,50000,2.02.9,flex,elétrica,branco,sim,ecosport titanium 2.0 16v flex 5p aut.,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré, c mera de ré",0
68,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_volkswagen-up-high-1-0-tsi-com-19-000km-709862784,vwvolkswagen,39900,0,up,manual,2016,19152,0,flex,hidráulica,branco,sim,0,4 portas,0,"vidro elétrico, air bag, trava elétrica, ar condicionado",0
69,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_ford-ka-1-0-se-12v-677530201,ford,39990,passeio,ka,manual,2018,55000,0,flex,0,0,0,ka 1.0 se se plus tivct flex 5p,4 portas,0,"vidro elétrico, trava elétrica, ar condicionado, direção hidráulica",0
70,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_vendo-fox-2014-1-6-721216167,vwvolkswagen,30000,hatch,fox,manual,2013,85000,1.6,flex,elétrica,vermelho,sim,fox 1.6 mi total flex 8v 5p,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré",1
